Rank,City,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
24,Abu Dhabi,88.8,72.1,55.9,5,28,45.4,43.9,2023
54,Abu Dhabi,87.1,68.4,59.3,6.4,39.6,49.4,43.9,2024
26,Abu Dhabi,88.4,72.4,52.6,6.4,30,45.3,43.9,2025
90,Abu Dhabi,88.9,72.5,54.1,6.8,30,45.2,43.9,2026
141,Ad Dammam,71.8,60.2,41.3,2.4,28.4,56.1,27.3,2026
9,Adelaide,68.9,78.3,81.1,6.6,28,21.5,95,2023
63,Adelaide,66.7,68,81.7,11.3,45.7,28.8,95,2024
17,Adelaide,67.2,74.1,61.5,7.5,35.3,24.1,95,2025
36,Adelaide,66.8,72.6,68.2,9.6,37.9,25,95,2026
191,Ahmedabad,67.9,66.4,24.1,9,39.8,72.5,49.3,2023
150,Ahmedabad,67.6,64.9,24.2,10,38.9,72.7,49.3,2024
202,Ahmedabad,68.3,67.7,21.1,9.4,38.6,72.4,49.3,2025
235,Ahmedabad,68.5,67.5,21.2,7.9,39.9,71.9,49.3,2026
37,Albuquerque,28.5,62.8,68.1,3.8,27.6,33.2,67.1,2023
74,Albuquerque,28.3,62.6,69.8,3.7,40.2,39,67.1,2024
99,Albuquerque,29.1,62.7,63.2,3.1,25.9,35.4,67.1,2026
247,Alexandria,54.6,45.3,17.9,21,44.9,73.5,95.5,2025
289,Alexandria,54.6,45.8,21.6,23.5,44.3,73.8,95.5,2026
223,Almaty,36.7,47.7,30.9,12.8,38.2,77.9,58.3,2023
179,Almaty,46.3,48.7,35.9,12.2,39.7,78.6,58.3,2024
234,Almaty,46.7,50,28,10.8,39.7,78.8,58.3,2025
272,Almaty,46.9,50.9,33,10.3,38.8,78.8,58.3,2026
186,Amman,61.2,65,48.7,8.3,42.1,75.9,89,2023
148,Amman,61.6,65.1,44.5,8,41.6,75.9,89,2024
203,Amman,62.4,65.2,39.6,7.7,40.3,76.9,89,2025
246,Amman,62.6,65.6,42.5,8.7,40.6,76.9,89,2026
14,Amsterdam,68,72.3,71.4,10.3,26.6,28.5,87.5,2023
10,Amsterdam,71.5,78,69.9,10.6,24.2,24.9,87.5,2024
12,Amsterdam,71.6,78.9,67.7,10.3,24.1,24.5,87.5,2025
8,Amsterdam,74.3,81.5,82.6,9.3,22.1,22.6,87.5,2026
88,Anchorage,37.7,61.2,88,2.8,26.8,15.7,41.6,2023
83,Anchorage,37.1,61.5,81.5,3.3,25.6,15.7,41.6,2026
159,Ankara,60.5,68.8,28.7,8.6,36.4,65.6,91.5,2023
129,Ankara,60.7,69.2,33.5,10.4,36.2,65.4,91.5,2024
180,Ankara,60.6,69.9,35.5,9,36.2,64.5,91.5,2025
205,Ankara,60.5,70,38.9,7.8,36.5,64.4,91.5,2026
155,Antalya,70.9,72.6,35.5,14.8,36.2,43.6,91.5,2025
154,Antalya,70.7,73.5,40.1,10.2,36.2,44.6,91.5,2026
102,Antwerp,60,81,69.1,6.1,37.8,58.4,85.4,2023
119,Antwerp,60.1,79.8,61.2,7.7,37,59,85.4,2025
136,Antwerp,60.1,79.8,71.6,6.1,38.8,58.2,85.4,2026
168,Astana (Nur-Sultan),66.1,67.3,29.4,7.7,32.3,51.8,21.3,2023
204,Astana (Nur-Sultan),67.5,67.2,26.9,8.5,33.3,55.5,21.3,2025
233,Astana (Nur-Sultan),66.8,67.3,29.7,7.1,35.4,55.1,21.3,2026
179,Athens,44.1,56.9,59.8,13.5,38.2,57.3,95.2,2023
151,Athens,43.9,56.7,55.9,14.9,38.2,57.2,95.2,2024
199,Athens,44.7,58.1,47.8,14.7,37.7,55.3,95.2,2025
231,Athens,44.8,58.5,57.9,14.3,37.2,55.2,95.2,2026
82,Atlanta,36.5,69.6,73.8,3.3,41.7,44.8,89.7,2023
51,Atlanta,36,67.8,80.3,5.7,44.4,45.6,89.7,2024
61,Atlanta,35.9,67,71.7,2.5,41.4,45,89.7,2025
93,Atlanta,35.8,65.9,75.3,3.1,41.3,45,89.7,2026
59,Auckland,51.8,71.7,78.1,10.7,36.9,28.7,99.9,2023
67,Auckland,50.4,67.9,73.2,13.4,44.7,34.2,99.9,2024
62,Auckland,49.9,69.2,59.1,10.7,37.4,31.2,99.9,2025
88,Auckland,49.5,69,62.5,10.4,37.5,31.1,99.9,2026
